Numéro,Pokémon,Forme,Rouge,Bleu,Jaune,Or,Argent,Cristal,Rubis,Saphir,Émeraude,Rouge-Feu,Vert-Feuille,Diamant,Perle,Platine,Or HeartGold,Argent SoulSilver,Noire,Blanche,Noire 2,Blanche 2,X,Y,Rubis Omega,Saphir Alpha,Soleil,Lune,Ultra Soleil,Ultra Lune,Let's Go Evoli,Let's Go Pikachu,Épée,Bouclier,Diamant Étincelant,Perle Scintillante,Légendes Arceus,Écarlate,Violet,Légendes ZA
0020,Rattatac,Mâle,"Route 16, Route 17, Route 18, Chenal 21","Route 16, Route 17, Route 18, Chenal 21","Route 9, Route 10, Route 11, Route 16, Route 18, Chenal 21, Manoir Pokémon","Route 7, Route 9, Route 10, Route 26, Route 27, Route 38, Route 39, Mont Creuset, Caves Jumelles, Chutes Tohjo, Tour Cendrée","Route 7, Route 9, Route 10, Route 26, Route 27, Route 38, Route 39, Mont Creuset, Caves Jumelles, Chutes Tohjo, Tour Cendrée","Route 1 (Nuit), Route 3, Route 4, Route 6, Route 7 (Matin et Jour), Route 9, Route 10, Route 11, Chenal 21, Route 26, Route 27, Route 38, Route 39, Route 42, Route 43, Mont Creuset, Caves Jumelles, Chutes Tohjo, Tour Cendrée",Indisponible,Indisponible,Indisponible,"Route 16, Route 17, Route 18, Manoir Pokémon","Route 16, Route 17, Route 18, Manoir Pokémon","Route 225, Chenal 226","Route 225, Chenal 226","Route 225, Chenal 226","Route 7, Route 9, Route 10, Route 26, Route 27, Route 38, Route 39, Route 47, Caves Jumelles, Mont Creuset, Tour Cendrée, Chutes Tohjo, Parc Safari","Route 7, Route 9, Route 10, Route 26, Route 27, Route 38, Route 39, Route 47, Caves Jumelles, Mont Creuset, Tour Cendrée, Chutes Tohjo, Parc Safari",Vestiges du Rêve,Vestiges du Rêve,"Chemin Enfoui, Manoir de l'Étrange, Vestiges du Rêve","Chemin Enfoui, Manoir de l'Étrange, Vestiges du Rêve",Indisponible,Indisponible,Route 118 (Navi-Dex),Route 118 (Navi-Dex),À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,"7, 8, 9, 10, 11, 16, 17, 18, 21 et Manoir Pokémon","7, 8, 9, 10, 11, 16, 17, 18, 21 et Manoir Pokémon",Incompatible,Incompatible,"Route 225, Chenal 226, Grotte Spacieuse, Grotte de la Prairie, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée","Route 225, Chenal 226, Grotte Spacieuse, Grotte de la Prairie, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée",Incompatible,,,
0020,Rattatac,Femelle,,,,,,,,,,,,"Route 225, Chenal 226","Route 225, Chenal 226","Route 225, Chenal 226","Route 7, Route 9, Route 10, Route 26, Route 27, Route 38, Route 39, Route 47, Caves Jumelles, Mont Creuset, Tour Cendrée, Chutes Tohjo, Parc Safari","Route 7, Route 9, Route 10, Route 26, Route 27, Route 38, Route 39, Route 47, Caves Jumelles, Mont Creuset, Tour Cendrée, Chutes Tohjo, Parc Safari",Vestiges du Rêve,Vestiges du Rêve,"Chemin Enfoui, Manoir de l'Étrange, Vestiges du Rêve","Chemin Enfoui, Manoir de l'Étrange, Vestiges du Rêve",Indisponible,Indisponible,Route 118 (Navi-Dex),Route 118 (Navi-Dex),À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,"7, 8, 9, 10, 11, 16, 17, 18, 21 et Manoir Pokémon","7, 8, 9, 10, 11, 16, 17, 18, 21 et Manoir Pokémon",Incompatible,Incompatible,"Route 225, Chenal 226, Grotte Spacieuse, Grotte de la Prairie, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée","Route 225, Chenal 226, Grotte Spacieuse, Grotte de la Prairie, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée",Incompatible,,,
0020,Rattatac,Alola,,,,,,,,,,,,,,,,,,,,,,,,,"La nuit : Routes 10, 11 16, et 17, Côte Reculée d'Akala, Village Toko, Vieille Route, Prairie de Poni, Forêt de Poni","La nuit : Routes 10, 11 16, et 17, Côte Reculée d'Akala, Village Toko, Vieille Route, Prairie de Poni, Forêt de Poni","La nuit : Routes 10, 11 16, et 17, Côte Reculée d'Akala, Village Toko, Vieille Route, Prairie de Poni","La nuit : Routes 10, 11 16, et 17, Côte Reculée d'Akala, Village Toko, Vieille Route, Prairie de Poni","Faire évoluer Rattata d'Alola (niveau 20, Nuit)","Faire évoluer Rattata d'Alola (niveau 20, Nuit)",Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,,,
0021,Piafabec,,"Route 3, Route 4, Route 9, Route 10, Route 11, Route 16, Route 17, Route 18, Route 22, Route 23","Route 3, Route 4, Route 9, Route 10, Route 11, Route 16, Route 17, Route 18, Route 22, Route 23","Route 3, Route 4, Route 9, Route 16, Route 18, Route 22","Route 3, Route 7, Route 9, Route 10, Route 22, Route 33, Route 42, Route 46, (Matin et Jour) Coup d'Boule (Route 29, 30, 31, 32, 33, 42, 43, 44, 45, 46), Route 4, Route 35, à amener à un personnage sur la Route 31","Route 3, Route 4, Route 7, Route 9, Route 10, Route 22, Route 33, Route 42, Route 46, Coup d'Boule (Route 29, 30, 31, 32, 33, 42, 43, 44, 45, 46), Route 35, à amener à un personnage sur la Route 31 (Matin et Jour)","Route 3, Route 4, Route 7, Route 9, Route 10, Route 22, Route 33, Route 42, Route 46, Coup d'Boule (Route 33, 42, 44, 45, 46, Ecorcia), Route 35, à amener à un personnage sur la Route 31 (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route 3, Route 4, Route 9, Route 10, Route 11, Route 16, Route 17, Route 18, Route 22, Route 23, Île 1, Île 2, Île 6, Île 7","Route 3, Route 4, Route 9, Route 10, Route 11, Route 16, Route 17, Route 18, Route 22, Route 23, Île 1, Île 2, Île 6, Île 7","Route 225, Chenal 226, Reproduction de Rapasdepic","Route 225, Chenal 226, Reproduction de Rapasdepic",Indisponible,"Route 3, Route 4, Route 7, Route 9, Route 10, Route 22, Route 33, Route 42, Route 46, Route 47, Coup d'Boule, Parc Safari, Pokéwalker(Bois Bruissant) (Matin et Jour)","Route 3, Route 4, Route 7, Route 9, Route 10, Route 22, Route 33, Route 42, Route 46, Route 47, Coup d'Boule, Parc Safari, Pokéwalker(Bois Bruissant) (Matin et Jour)",Indisponible,Indisponible,Indisponible,Indisponible,"Safari des Amis Vol, position 1 (0301-9771-3252)","Safari des Amis Vol, position 1 (0301-9771-3252)",Indisponible,Indisponible,Routes 2* et 3*,Routes 2* et 3*,Routes 2* et 3*,Routes 2* et 3*,"Dans les airs*, au-dessus des Routes 3, 4, 9, 10, 22, 23, Routes 3, 4, 9, 10, 22, 23","Dans les airs*, au-dessus des Routes 3, 4, 9, 10, 22, 23, Routes 3, 4, 9, 10, 22, 23",Incompatible,Incompatible,"Route 225, Chenal 226","Route 225, Chenal 226",Incompatible,,,
0022,Rapasdepic,,"Route 17, Route 18, Route 23","Route 17, Route 18, Route 23","Route 9, Route 16, Route 17, Route 18, Route 23","Route 9, Route 10, Route 16, Route 17, Route 18, Route 22 (Matin et Jour)","Route 9, Route 10, Route 16, Route 17, Route 18, Route 22 (Matin et Jour)","Route 9, Route 10, Route 16, Route 17, Route 18, Route 22, Route 42 (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route 17, Route 18, Route 23, Plage Trésor, Route Tison, Mont Braise, Cap Falaise, Vallée Ruine, Agualcanal, Entrée Canyon, Canyon Sesor","Route 17, Route 18, Route 23, Plage Trésor, Route Tison, Mont Braise, Cap Falaise, Vallée Ruine, Agualcanal, Entrée Canyon, Canyon Sesor","Route 225, Chenal 226, Route 227, Mont Abrupt","Route 225, Chenal 226, Route 227, Mont Abrupt","Route 225, Chenal 226, Route 227, Mont Abrupt","Route 9, Route 10, Route 16, Route 17, Route 18, Route 22, Route 47, Route 48, Parc Safari (Matin et Jour)","Route 9, Route 10, Route 16, Route 17, Route 18, Route 22, Route 47, Route 48, Parc Safari (Matin et Jour)",Route 15,Route 15,Route 15 (Troupeau),Route 15 (Troupeau),"Route Victoire (Embuscades, chutant du ciel)","Route Victoire (Embuscades, chutant du ciel)",Indisponible,Indisponible,"Routes 10* et 17, Mont Hokulani, Plaine de Poni*","Routes 10* et 17, Mont Hokulani, Plaine de Poni*","Routes 10* et 17, Mont Hokulani, Plaine de Poni*","Routes 10* et 17, Mont Hokulani, Plaine de Poni*","Dans les airs*, au-dessus des Routes 3, 4, 9, 10, 22, 23, Routes 9, 10, 23","Dans les airs*, au-dessus des Routes 3, 4, 9, 10, 22, 23, Routes 9, 10, 23",Incompatible,Incompatible,"Route 225, Chenal 226, Route 227, Mont Abrupt","Route 225, Chenal 226, Route 227, Mont Abrupt",Incompatible,,,
0023,Abo,,"Route 4, Route 8, Route 9, Route 10, Route 11, Route 23",Indisponible,Indisponible,Casino de Doublonville,"Route 3, Route 4, Route 32, Route 33","Route 3, Route 4, Route 32, Route 33, Route 42, Coup d'Boule (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route 4, Route 8, Route 9, Route 10, Route 11, Route 23",Indisponible,"Route 212 (Partie Sud, insertion Rouge Feu)","Route 212 (Partie Sud, insertion Rouge Feu)","Route 212 (Partie Sud, insertion Rouge Feu)","Casino de Doublonville, Parc Safari","Route 3, Route 4, Route 32, Route 33, Parc Safari",Indisponible,Indisponible,Indisponible,Indisponible,Route 14 (Horde),Route 14 (Horde),Indisponible,Indisponible,Échange,Échange,Route 2,Route 2,"Hautes herbesLGE : Routes 3 et 4, Échange",Hautes herbesLGE : Routes 3 et 4,Incompatible,Incompatible,"Grotte de la Prairie, Grotte du Marécage, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne du Marais Sans Fond",Échange,Incompatible,Coteau Pomme (Prairie),Coteau Pomme (Prairie),Zone Sauvage 4
0024,Arbok,,"Route 23, Caverne Azurée",Indisponible,Indisponible,Faire évoluer Abo au N.22,"Route 3, Route 4, Route 26, Route 27, Faire évoluer Abo au N.22","Route 3, Route 4, Route 26, Route 27, Route 28, Route 42, Mont Argenté (Matin et Jour)",Indisponible,Indisponible,Indisponible,"Route Victoire, Route 23",Indisponible,Grand Marais (Insertion Rouge Feu),Grand Marais (Insertion Rouge Feu),Grand Marais (Insertion Rouge Feu),Indisponible,"Route 3, Route 4, Route 26, Route 27, Parc Safari (Zone Humide)",Indisponible,Indisponible,Indisponible,Indisponible,Route 19 (Horde),Route 19 (Horde),Indisponible,Indisponible,Échange,Échange,Échange au Centre Pokémon de la Route 8,Échange au Centre Pokémon de la Route 8,Échange,Faire évoluer Abo (niveau 22),Incompatible,Incompatible,Faire évoluer Abo (Niveau 22),Échange,Incompatible,Rives du Confluent (Prairie),Rives du Confluent (Prairie),Zone Sauvage 10
0025,Pikachu,Mâle,"Forêt de Jade, Centrale","Forêt de Jade, Centrale",Pokémon de départ à Bourg Palette,Route 2 (Matin et Jour),Route 2 (Matin et Jour),"Route 2, Casino de Céladopole (Matin et Jour)",Parc Safari,Parc Safari,Parc Safari,"Forêt de Jade, Centrale","Forêt de Jade, Centrale",Jardin Trophée (tout le temps),Jardin Trophée (tout le temps),Jardin Trophée (tout le temps),"Forêt de Jade, Pokéwalker (Zone de Vacances)","Forêt de Jade, Pokéwalker (Zone de Vacances)",Indisponible,Indisponible,Indisponible,Indisponible,"Route 3, Forêt de Neuvartault","Route 3, Forêt de Neuvartault","Parc Safari (Zone Sud-est, Hautes herbes), Spécimen cosplayeur donné dans une salle de concours Pokémon","Parc Safari (Zone Sud-est, Hautes herbes), Spécimen cosplayeur donné dans une salle de concours Pokémon",Intrusion* (Pichu*),Intrusion* (Pichu*),"Intrusion* (Pichu*), Reçu après être devenu n° 1 aux 4 compétitions de Surf Démanta","Intrusion* (Pichu*), Reçu après être devenu n° 1 aux 4 compétitions de Surf Démanta",Forêt de Jade,Forêt de Jade,"Route 4, Plaine Verdoyante, Plaine Rocheuse, Forêt Flexion, Lande Boldair, Plaine Salutation","Route 4, Plaine Verdoyante, Plaine Rocheuse, Forêt Flexion, Lande Boldair, Plaine Salutation",Jardin Trophée,Jardin Trophée,??,Zone Est 1 (Hautes herbes),Zone Est 1 (Hautes herbes),Zone Sauvage 3
0025,Pikachu,Femelle,,,,,,,,,,,,Jardin Trophée (tout le temps),Jardin Trophée (tout le temps),Jardin Trophée (tout le temps),"Forêt de Jade, Pokéwalker (Zone de Vacances)","Forêt de Jade, Pokéwalker (Zone de Vacances)",Indisponible,Indisponible,Indisponible,Indisponible,"Route 3, Forêt de Neuvartault","Route 3, Forêt de Neuvartault","Parc Safari (Zone Sud-est, Hautes herbes), Spécimen cosplayeur donné dans une salle de concours Pokémon","Parc Safari (Zone Sud-est, Hautes herbes), Spécimen cosplayeur donné dans une salle de concours Pokémon",Intrusion* (Pichu*),Intrusion* (Pichu*),"Intrusion* (Pichu*), Reçu après être devenu n° 1 aux 4 compétitions de Surf Démanta","Intrusion* (Pichu*), Reçu après être devenu n° 1 aux 4 compétitions de Surf Démanta",Forêt de Jade,Forêt de Jade,"Route 4, Plaine Verdoyante, Plaine Rocheuse, Forêt Flexion, Lande Boldair, Plaine Salutation","Route 4, Plaine Verdoyante, Plaine Rocheuse, Forêt Flexion, Lande Boldair, Plaine Salutation",Jardin Trophée,Jardin Trophée,??,Zone Est 1 (Hautes herbes),Zone Est 1 (Hautes herbes),Zone Sauvage 3
0025,Pikachu,Partenaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bourg Palette (Laboratoire Pokémon),,,,,,,,,
0025,Pikachu,Cosplay,,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,,,,,,,,,,,,,,
0025,Pikachu,Rockeur,,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,,,,,,,,,,,,,,
0025,Pikachu,Docteur,,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,,,,,,,,,,,,,,
0025,Pikachu,Star,,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,,,,,,,,,,,,,,
0025,Pikachu,Lady,,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,,,,,,,,,,,,,,
0025,Pikachu,Catcheur,,,,,,,,,,,,,,,,,,,,,,,Indisponible,Indisponible,,,,,,,,,,,,,,
0025,Pikachu,Casquette Originale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evénement,Evénement,
0025,Pikachu,Casquette de Hoenn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evénement,Evénement,
0025,Pikachu,Casquette de Sinnoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evénement,Evénement,
0025,Pikachu,Casquette d'Unys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evénement,Evénement,
0025,Pikachu,Casquette de Kalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evénement,Evénement,
0025,Pikachu,Casquette d'Alola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evénement,Evénement,
0025,Pikachu,Casquette Partenaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evénement,Evénement,
0025,Pikachu,Casquette Monde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evénement,Evénement,
0026,Raichu,Mâle,Caverne Azurée,"Centrale, Caverne Azurée",Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Faire évoluer Pikachu avec une Pierre Foudre dans l'Ultra-Dimension,Faire évoluer Pikachu avec une Pierre Foudre dans l'Ultra-Dimension,Faire évoluer Pikachu avec une Pierre Foudre,Faire évoluer Pikachu avec une Pierre Foudre,"Lande Boldair, Forêt Flexion, Expédition Dynamax","Lande Boldair, Forêt Flexion, Expédition Dynamax",Faire évoluer Pikachu (Avec une Pierre Foudre),Faire évoluer Pikachu (Avec une Pierre Foudre),??,Forêt Toastée,Forêt Toastée,Zone Sauvage 20
0026,Raichu,Femelle,,,,,,,,,,,,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Échange,Échange,Faire évoluer Pikachu avec une Pierre Foudre dans l'Ultra-Dimension,Faire évoluer Pikachu avec une Pierre Foudre dans l'Ultra-Dimension,Faire évoluer Pikachu avec une Pierre Foudre,Faire évoluer Pikachu avec une Pierre Foudre,"Lande Boldair, Forêt Flexion, Expédition Dynamax","Lande Boldair, Forêt Flexion, Expédition Dynamax",Faire évoluer Pikachu (Avec une Pierre Foudre),Faire évoluer Pikachu (Avec une Pierre Foudre),??,Forêt Toastée,Forêt Toastée,Zone Sauvage 20
0026,Raichu,Alola,,,,,,,,,,,,,,,,,,,,,,,,,Faire évoluer Pikachu avec une Pierre Foudre,Faire évoluer Pikachu avec une Pierre Foudre,Faire évoluer Pikachu avec une Pierre Foudre,Faire évoluer Pikachu avec une Pierre Foudre,Échange au Centre Pokémon de Safrania,Échange au Centre Pokémon de Safrania,"Récompense de la Quête des Taupiqueur d'Alola, après avoir retrouvé 40 Taupiqueur d'Alola, Expédition Dynamax","Récompense de la Quête des Taupiqueur d'Alola, après avoir retrouvé 40 Taupiqueur d'Alola, Expédition Dynamax",Incompatible,Incompatible,Incompatible,Indisponible,Indisponible,Magenta District
0027,Sabelette,,Indisponible,"Route 4, Route 8, Route 9, Route 10, Route 11, Route 23","Route 3, Route 4, Mont Sélénite","Caves Jumelles, Mont Sélénite",Casino de Doublonville,"Route 3, Route 4, Caves Jumelles, Mont Sélénite (Matin et Jour)","Route 111, Route 113","Route 111, Route 113","Route 111, Tour Mirage",Indisponible,"Route 4, Route 8, Route 9, Route 10, Route 11, Route 23",Grotte Revêche (Insertion Vert Feuille),Grotte Revêche (Insertion Vert Feuille),Grotte Revêche (Insertion Vert Feuille),"Caves Jumelles, Mont Sélénite, Parc Safari","Casino de Doublonville, Parc Safari",Reproduction de Sablaireau,Reproduction de Sablaireau,"Désert Délassant, Château Enfoui","Désert Délassant, Château Enfoui","Safari des Amis Sol, position 1 (5000-6624-4550)","Safari des Amis Sol, position 1 (5000-6624-4550)","Route 111, Route 113, Route 111 (Horde)","Route 111, Route 113, Route 111 (Horde)",À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,Hautes herbesLGP : Routes 3 et 4,"Hautes herbesLGP : Routes 3 et 4, Échange",Voie des Étirements,Voie des Étirements,Échange,"Grotte Spacieuse, Grotte des Rochers, Grotte des Sables Ardents, Caverne du Piton",Incompatible,Grotte Douche Froide,Grotte Douche Froide,
0027,Sabelette,Alola,,,,,,,,,,,,,,,,,,,,,,,,,"Village Toko, Échange","Village Toko, Mont Lanakila*","Village Toko, Échange","Village Toko, Mont Lanakila*",Échange au Centre Pokémon de Céladopole,Échange,"Récompense de la Quête des Taupiqueur d'Alola, après avoir retrouvé 30 Taupiqueur d'Alola","Récompense de la Quête des Taupiqueur d'Alola, après avoir retrouvé 30 Taupiqueur d'Alola",Incompatible,Incompatible,Incompatible,Indisponible,Zone Polaire,
0028,Sablaireau,,Indisponible,"Route 23, Caverne Azurée",Caverne Azurée,"Route 26, Route 27, Mont Sélénite, Faire évoluer Sabelette au N.22",Indisponible,"Route 26, Route Victoire (Matin et Jour)",Indisponible,Indisponible,Indisponible,Indisponible,"Route Victoire, Route 23",Route 228 (Insertion Vert Feuille),Route 228 (Insertion Vert Feuille),Route 228 (Insertion Vert Feuille),"Route 26, Route 27, Mont Sélénite, Parc Safari (Zone Desert)",Parc Safari (Zone Desert),Château Enfoui,Château Enfoui,"Château Enfoui, Route 15","Château Enfoui, Route 15","Route 18, Grotte Coda","Route 18, Grotte Coda",Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,Faire évoluer Sabelette (niveau 22),Échange,"Sables de Kudsac, Forêt Flexion, Expédition Dynamax","Sables de Kudsac, Forêt Flexion, Expédition Dynamax",Échange,"Grotte Spacieuse, Grotte des Rochers, Grotte des Sables Ardents, Caverne du Piton",Incompatible,Grotte Douche Froide,Grotte Douche Froide,
0028,Sablaireau,Alola,,,,,,,,,,,,,,,,,,,,,,,,,Échange,Faire évoluer Sabelette avec une Pierre Glace,Échange,Faire évoluer Sabelette avec une Pierre Glace,,,Expédition Dynamax,Expédition Dynamax,Incompatible,Incompatible,Incompatible,Indisponible,Terra-Dôme (Raid 6*),
0029,Nidoran♀,,"Route 22, Parc Safari, Échange contre un Nidoran♂ sur la Route 5","Route 22, Parc Safari, Échange contre un Nidoran♂ sur la Route 5","Route 2, Route 9, Route 10, Route 22, Parc Safari","Route 35, Route 36","Route 35, Route 36",Parc Naturel (Matin et Jour),Indisponible,Indisponible,Indisponible,"Route 3, Parc Safari","Route 3, Parc Safari",Route 201 (Poké Radar),Route 201 (Poké Radar),Route 201 (Poké Radar),"Route 35, Route 36, Parc Safari, Pokéwalker (Plaine Sereine)","Route 35, Route 36, Parc Safari, Pokéwalker (Plaine Sereine)",Indisponible,Forêt Blanche (avec Luc dans la forêt),Trouée Cachée (Route 2),Trouée Cachée (Route 2),"Route 11 (Horde, avec 4 Nidoran♂)","Route 11 (Horde, avec 4 Nidoran♂)",Indisponible,Indisponible,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,À transférer via Banque Pokémon,"Hautes herbes : Routes 9, 10, 22 et 23","Hautes herbes : Routes 9, 10, 22 et 23","Repos du Géant, Plaine Granfroy, Cimetière Ancien","Repos du Géant, Plaine Granfroy, Cimetière Ancien","Route 201 (Poké Radar), Grotte de la Prairie, Grotte du Marécage, Grotte Éblouissante, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne de la Nuit Étoilée, Caverne du Marais Sans Fond","Route 201 (Poké Radar), Grotte de la Prairie, Grotte du Marécage, Grotte Éblouissante, Grotte de la Rivière, Caverne du Miroir d'Eau, Caverne Ensoleillée, Caverne de la Nuit Étoilée, Caverne du Marais Sans Fond",Incompatible,,,
